Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1988-05-12
Station:        050811         Aux Pommes - à 1,2 km en amont de la rivière Noire                                                                                             
Bassin versant: 72.3 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 42' 25" // -71° 40' 13"

Date de création du fichier: 2012-06-25 00:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050811         1979/08/01          0.459          J
050811         1979/08/02          0.535          MC
050811         1979/08/03          2.680          MC
050811         1979/08/04          1.900          MC
050811         1979/08/05          1.300          MC
050811         1979/08/06          1.200          MC
050811         1979/08/07          1.050          MC
050811         1979/08/08          1.140          MC
050811         1979/08/09          0.836          MC
050811         1979/08/10          0.708          MC
050811         1979/08/11          0.797          MC
050811         1979/08/12          0.630          MC
050811         1979/08/13          0.621          MC
050811         1979/08/14          0.862          MC
050811         1979/08/15          0.790          MC
050811         1979/08/16          0.692          MC
050811         1979/08/17          0.596          MC
050811         1979/08/18          0.542          MC
050811         1979/08/19          0.632          MC
050811         1979/08/20          0.705          MC
050811         1979/08/21          0.700          MC
050811         1979/08/22          0.589          MC
050811         1979/08/23          0.581          MC
050811         1979/08/24          0.875          MC
050811         1979/08/25          3.650          MC
050811         1979/08/26          2.710          MC
050811         1979/08/27          1.400          MC
050811         1979/08/28          1.180          J
050811         1979/08/29          1.120          MC
050811         1979/08/30          2.930          MC
050811         1979/08/31          3.980          MC
050811         1979/09/01          2.150          MC
050811         1979/09/02          1.580          MC
050811         1979/09/03          4.000          MC
050811         1979/09/04          3.470          MC
050811         1979/09/05          1.740          MC
050811         1979/09/06          1.650          MC
050811         1979/09/07          5.800          MC
050811         1979/09/08          3.230          MC
050811         1979/09/09          1.830          MC
050811         1979/09/10          1.410          MC
050811         1979/09/11          2.420          MC
050811         1979/09/12          1.950          MC
050811         1979/09/13          1.320          MC
050811         1979/09/14          2.890          MC
050811         1979/09/15          26.30          MC
050811         1979/09/16          11.90          MC
050811         1979/09/17          3.770          J
050811         1979/09/18          2.520          MC
050811         1979/09/19          3.700          MC
050811         1979/09/20          2.990          MC
050811         1979/09/21          1.940          MC
050811         1979/09/22          1.580          MC
050811         1979/09/23          1.420          MC
050811         1979/09/24          2.380          MC
050811         1979/09/25          1.680          MC
050811         1979/09/26          1.300          MC
050811         1979/09/27          1.170          MC
050811         1979/09/28          1.200          MC
050811         1979/09/29          1.020          MC
