Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1967-12-31
Station:        050402         Sainte-Anne - à 4,8 km en amont du Bras du Nord de la rivière Sainte-Anne                                                                      
Bassin versant: 751 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 54' 39" // -71° 49' 35"

Date de création du fichier: 2012-06-24 20:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050402         1951/10/01          23.20          MC
050402         1951/10/02          22.40          MC
050402         1951/10/03          21.00          MC
050402         1951/10/04          19.50          MC
050402         1951/10/05          19.50          MC
050402         1951/10/06          18.70          MC
050402         1951/10/07          17.80          MC
050402         1951/10/08          22.10          MC
050402         1951/10/09          35.70          MC
050402         1951/10/10          28.60          MC
050402         1951/10/11          23.80          MC
050402         1951/10/12          21.50          MC
050402         1951/10/13          19.30          MC
050402         1951/10/14          17.60          MC
050402         1951/10/15          16.40          MC
050402         1951/10/16          15.00          MC
050402         1951/10/17          14.20          MC
050402         1951/10/18          14.20          MC
050402         1951/10/19          12.20          MC
050402         1951/10/20          13.30          MC
050402         1951/10/21          12.50          MC
050402         1951/10/22          11.60          MC
050402         1951/10/23          11.00          MC
050402         1951/10/24          11.00          MC
050402         1951/10/25          30.30          MC
050402         1951/10/26          43.90          MC
050402         1951/10/27          32.00          MC
050402         1951/10/28          27.90          MC
050402         1951/10/29          23.20          MC
050402         1951/10/30          20.10          MC
050402         1951/10/31          17.80          MC
