Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1953-03-31
Station:        030233         Eaton - à 0,6 km de la rivière Saint-François                                                                                                  
Bassin versant: 642 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 28' 3" // -71° 39' 16"

Date de création du fichier: 2012-06-29 18:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030233         1945/09/01          3.110          MC
030233         1945/09/02          60.30          MC
030233         1945/09/03          15.10          MC
030233         1945/09/04          6.600          MC
030233         1945/09/05          5.100          E
030233         1945/09/06          3.960          E
030233         1945/09/07          3.140          MC
030233         1945/09/08          2.360          MC
030233         1945/09/09          2.280          MC
030233         1945/09/10          2.040          MC
030233         1945/09/11          2.280          MC
030233         1945/09/12          3.260          MC
030233         1945/09/13          2.360          MC
030233         1945/09/14          2.160          MC
030233         1945/09/15          94.60          MC
030233         1945/09/16          25.90          MC
030233         1945/09/17          11.20          MC
030233         1945/09/18          6.260          MC
030233         1945/09/19          174.0          MC
030233         1945/09/20          39.90          MC
030233         1945/09/21          24.90          MC
030233         1945/09/22          28.30          MC
030233         1945/09/23          14.40          MC
030233         1945/09/24          10.20          MC
030233         1945/09/25          10.20          MC
030233         1945/09/26          96.00          MC
030233         1945/09/27          31.10          MC
030233         1945/09/28          16.60          MC
030233         1945/09/29          55.80          MC
030233         1945/09/30          30.60          MC
030233         1945/10/01          16.10          MC
030233         1945/10/02          86.40          MC
030233         1945/10/03          62.90          MC
030233         1945/10/04          31.70          MC
030233         1945/10/05          24.90          MC
030233         1945/10/06          15.70          MC
030233         1945/10/07          11.80          MC
030233         1945/10/08          20.20          MC
030233         1945/10/09          29.70          MC
030233         1945/10/10          44.20          MC
030233         1945/10/11          21.90          MC
030233         1945/10/12          15.00          MC
030233         1945/10/13          23.10          MC
030233         1945/10/14          15.40          MC
030233         1945/10/15          11.80          MC
030233         1945/10/16          12.60          MC
030233         1945/10/17          16.40          MC
030233         1945/10/18          12.10          MC
030233         1945/10/19          9.680          MC
030233         1945/10/20          8.070          MC
030233         1945/10/21          7.140          MC
030233         1945/10/22          6.140          MC
030233         1945/10/23          11.30          MC
030233         1945/10/24          9.000          MC
030233         1945/10/25          10.60          MC
030233         1945/10/26          12.10          MC
030233         1945/10/27          32.80          MC
030233         1945/10/28          18.40          MC
030233         1945/10/29          11.80          MC
030233         1945/10/30          11.70          MC
030233         1945/10/31          9.680          MC
030233         1945/11/01          10.80          MC
030233         1945/11/02          9.680          MC
030233         1945/11/03          61.20          MC
030233         1945/11/04          38.80          MC
030233         1945/11/05          20.70          MC
030233         1945/11/06          13.90          MC
030233         1945/11/07          11.50          MC
030233         1945/11/08          9.680          MC
030233         1945/11/09          8.070          MC
030233         1945/11/10          7.590          MC
030233         1945/11/11          6.480          MC
030233         1945/11/12          6.310          MC
030233         1945/11/13          6.680          MC
030233         1945/11/14          6.480          MC
030233         1945/11/15          5.830          MC
030233         1945/11/16          5.040          MC
030233         1945/11/17          4.760          MC
030233         1945/11/18          5.800          R
030233         1945/11/19          12.90          R
030233         1945/11/20          7.870          R
030233         1945/11/21          15.40          R
030233         1945/11/22          12.70          R
030233         1945/11/23          20.80          R
030233         1945/11/24          13.90          R
030233         1945/11/25          10.80          R
030233         1945/11/26          7.420          R
030233         1945/11/27          6.510          R
030233         1945/11/28          5.950          R
030233         1945/11/29          5.520          R
030233         1945/11/30          5.100          R
030233         1945/12/01          4.250          R
030233         1945/12/02          3.740          R
030233         1945/12/03          3.450          R
030233         1945/12/04          3.280          R
030233         1945/12/05          3.260          R
030233         1945/12/06          4.250          R
030233         1945/12/07          8.500          R
030233         1945/12/08          24.90          R
030233         1945/12/09          21.20          R
030233         1945/12/10          14.20          R
030233         1945/12/11          8.500          R
030233         1945/12/12          5.380          R
030233         1945/12/13          5.100          R
030233         1945/12/14          4.390          R
030233         1945/12/15          4.020          R
030233         1945/12/16          3.910          R
030233         1945/12/17          3.680          R
030233         1945/12/18          3.540          R
030233         1945/12/19          3.400          R
030233         1945/12/20          3.260          R
030233         1945/12/21          3.140          R
030233         1945/12/22          3.060          R
030233         1945/12/23          2.970          R
030233         1945/12/24          2.920          R
030233         1945/12/25          2.830          R
030233         1945/12/26          3.110          R
030233         1945/12/27          3.370          R
030233         1945/12/28          2.860          R
030233         1945/12/29          2.630          R
030233         1945/12/30          2.780          R
030233         1945/12/31          3.400          R
030233         1946/01/01          5.100          R
030233         1946/01/02          4.810          R
030233         1946/01/03          4.530          R
030233         1946/01/04          4.250          R
030233         1946/01/05          3.960          R
030233         1946/01/06          12.70          R
030233         1946/01/07          56.60          R
030233         1946/01/08          36.80          R
030233         1946/01/09          25.50          R
030233         1946/01/10          19.80          R
030233         1946/01/11          14.20          R
030233         1946/01/12          9.910          R
030233         1946/01/13          8.500          R
030233         1946/01/14          6.650          R
030233         1946/01/15          5.950          R
030233         1946/01/16          5.380          R
030233         1946/01/17          4.810          R
030233         1946/01/18          4.390          R
030233         1946/01/19          4.110          R
030233         1946/01/20          3.820          R
030233         1946/01/21          3.540          R
030233         1946/01/22          3.260          R
030233         1946/01/23          3.110          R
030233         1946/01/24          2.970          R
030233         1946/01/25          2.690          R
030233         1946/01/26          2.630          R
030233         1946/01/27          2.490          R
030233         1946/01/28          2.380          R
030233         1946/01/29          2.270          R
030233         1946/01/30          2.150          R
030233         1946/01/31          2.100          R
030233         1946/02/01          2.040          R
030233         1946/02/02          2.010          R
030233         1946/02/03          1.950          R
030233         1946/02/04          1.930          R
030233         1946/02/05          1.870          R
030233         1946/02/06          5.100          R
030233         1946/02/07          4.670          R
030233         1946/02/08          4.250          R
030233         1946/02/09          3.820          R
030233         1946/02/10          3.450          R
030233         1946/02/11          3.170          R
030233         1946/02/12          2.890          R
030233         1946/02/13          2.550          R
030233         1946/02/14          9.630          R
030233         1946/02/15          8.500          R
030233         1946/02/16          7.080          R
030233         1946/02/17          6.370          R
030233         1946/02/18          5.950          R
030233         1946/02/19          5.240          R
030233         1946/02/20          4.810          R
030233         1946/02/21          4.390          R
030233         1946/02/22          4.110          R
030233         1946/02/23          3.540          R
030233         1946/02/24          3.260          R
030233         1946/02/25          3.060          R
030233         1946/02/26          2.720          R
030233         1946/02/27          2.610          R
030233         1946/02/28          2.490          R
030233         1946/03/01          2.320          R
030233         1946/03/02          2.210          R
030233         1946/03/03          2.150          R
030233         1946/03/04          2.100          R
030233         1946/03/05          2.040          R
030233         1946/03/06          2.270          R
030233         1946/03/07          2.830          R
030233         1946/03/08          4.250          R
030233         1946/03/09          6.230          R
030233         1946/03/10          9.910          R
030233         1946/03/11          12.50          R
030233         1946/03/12          20.40          R
030233         1946/03/13          18.70          R
030233         1946/03/14          28.30          R
030233         1946/03/15          39.60          R
030233         1946/03/16          55.20          R
030233         1946/03/17          58.00          R
030233         1946/03/18          43.90          R
030233         1946/03/19          52.40          R
030233         1946/03/20          51.00          R
030233         1946/03/21          48.70          R
030233         1946/03/22          52.40          R
030233         1946/03/23          48.70          R
030233         1946/03/24          43.90          R
030233         1946/03/25          43.00          R
030233         1946/03/26          40.20          R
030233         1946/03/27          43.90          R
030233         1946/03/28          48.10          R
030233         1946/03/29          55.20          R
030233         1946/03/30          52.40          R
030233         1946/03/31          47.30          R
030233         1946/04/01          25.50          R
030233         1946/04/02          19.30          R
030233         1946/04/03          17.30          R
030233         1946/04/04          21.00          R
030233         1946/04/05          24.40          R
030233         1946/04/06          22.40          R
030233         1946/04/07          19.50          R
030233         1946/04/08          17.00          R
030233         1946/04/09          13.90          MC
030233         1946/04/10          18.60          MC
030233         1946/04/11          14.80          MC
030233         1946/04/12          11.70          MC
030233         1946/04/13          13.40          MC
030233         1946/04/14          14.30          MC
030233         1946/04/15          23.70          MC
030233         1946/04/16          35.40          MC
030233         1946/04/17          18.00          MC
030233         1946/04/18          13.60          MC
030233         1946/04/19          15.10          MC
030233         1946/04/20          12.30          MC
030233         1946/04/21          11.00          MC
030233         1946/04/22          12.30          MC
030233         1946/04/23          12.10          MC
030233         1946/04/24          31.40          MC
030233         1946/04/25          18.90          MC
030233         1946/04/26          28.60          MC
030233         1946/04/27          46.20          MC
030233         1946/04/28          23.70          MC
030233         1946/04/29          18.30          MC
030233         1946/04/30          15.70          MC
030233         1946/05/01          15.80          MC
030233         1946/05/02          11.70          MC
030233         1946/05/03          9.340          MC
030233         1946/05/04          7.870          MC
030233         1946/05/05          8.270          MC
030233         1946/05/06          37.10          MC
030233         1946/05/07          28.60          MC
030233         1946/05/08          19.10          MC
030233         1946/05/09          18.70          MC
030233         1946/05/10          22.90          MC
030233         1946/05/11          14.70          MC
030233         1946/05/12          28.60          MC
030233         1946/05/13          11.10          MC
030233         1946/05/14          11.10          MC
030233         1946/05/15          9.340          MC
030233         1946/05/16          8.580          MC
030233         1946/05/17          34.80          MC
030233         1946/05/18          19.10          MC
030233         1946/05/19          23.90          MC
030233         1946/05/20          15.90          MC
030233         1946/05/21          18.40          MC
030233         1946/05/22          27.40          MC
030233         1946/05/23          15.70          MC
030233         1946/05/24          11.10          MC
030233         1946/05/25          7.590          MC
030233         1946/05/26          12.30          MC
030233         1946/05/27          9.570          MC
030233         1946/05/28          6.850          MC
030233         1946/05/29          5.580          MC
030233         1946/05/30          4.700          MC
030233         1946/05/31          4.900          MC
030233         1946/06/01          7.670          MC
030233         1946/06/02          6.060          MC
030233         1946/06/03          4.900          MC
030233         1946/06/04          5.270          MC
030233         1946/06/05          5.130          MC
030233         1946/06/06          8.070          MC
030233         1946/06/07          5.180          MC
030233         1946/06/08          4.700          MC
030233         1946/06/09          14.40          MC
030233         1946/06/10          7.140          MC
030233         1946/06/11          4.700          MC
030233         1946/06/12          9.570          MC
030233         1946/06/13          6.680          MC
030233         1946/06/14          4.700          MC
030233         1946/06/15          3.960          MC
030233         1946/06/16          3.280          MC
030233         1946/06/17          2.970          MC
030233         1946/06/18          54.10          MC
030233         1946/06/19          15.90          MC
030233         1946/06/20          8.070          MC
030233         1946/06/21          6.480          MC
030233         1946/06/22          6.850          MC
030233         1946/06/23          5.750          MC
030233         1946/06/24          4.560          MC
030233         1946/06/25          3.600          MC
030233         1946/06/26          2.970          MC
030233         1946/06/27          2.860          MC
030233         1946/06/28          2.410          MC
030233         1946/06/29          2.160          MC
030233         1946/06/30          2.000          MC
030233         1946/07/01          2.450          MC
030233         1946/07/02          6.600          MC
030233         1946/07/03          6.600          MC
030233         1946/07/04          3.910          MC
030233         1946/07/05          2.920          MC
030233         1946/07/06          2.320          MC
030233         1946/07/07          2.120          MC
030233         1946/07/08          1.960          MC
030233         1946/07/09          2.570          MC
030233         1946/07/10          8.690          MC
030233         1946/07/11          3.960          MC
030233         1946/07/12          2.610          MC
030233         1946/07/13          2.530          MC
030233         1946/07/14          2.040          MC
030233         1946/07/15          2.360          MC
030233         1946/07/16          2.040          MC
030233         1946/07/17          1.870          MC
030233         1946/07/18          1.750          MC
030233         1946/07/19          1.630          MC
030233         1946/07/20          1.670          MC
030233         1946/07/21          1.500          MC
030233         1946/07/22          2.040          MC
030233         1946/07/23          2.160          MC
030233         1946/07/24          6.770          MC
030233         1946/07/25          6.480          MC
030233         1946/07/26          2.800          MC
030233         1946/07/27          2.240          MC
030233         1946/07/28          1.670          MC
030233         1946/07/29          1.590          MC
030233         1946/07/30          1.500          MC
030233         1946/07/31          1.380          MC
030233         1946/08/01          1.340          MC
030233         1946/08/02          1.260          MC
030233         1946/08/03          1.460          MC
030233         1946/08/04          2.450          MC
030233         1946/08/05          2.040          MC
030233         1946/08/06          1.830          MC
030233         1946/08/07          1.550          MC
030233         1946/08/08          1.460          MC
030233         1946/08/09          1.300          MC
030233         1946/08/10          1.300          MC
030233         1946/08/11          1.340          MC
030233         1946/08/12          1.460          MC
030233         1946/08/13          1.340          MC
030233         1946/08/14          1.260          MC
030233         1946/08/15          1.220          MC
030233         1946/08/16          1.220          MC
030233         1946/08/17          2.570          MC
030233         1946/08/18          4.420          MC
030233         1946/08/19          2.450          MC
030233         1946/08/20          11.20          MC
030233         1946/08/21          5.350          MC
030233         1946/08/22          3.230          MC
030233         1946/08/23          4.840          MC
030233         1946/08/24          6.600          MC
030233         1946/08/25          5.750          MC
030233         1946/08/26          6.140          MC
030233         1946/08/27          5.890          MC
030233         1946/08/28          6.600          MC
030233         1946/08/29          4.160          MC
030233         1946/08/30          5.490          MC
030233         1946/08/31          3.960          MC
030233         1946/09/01          2.860          MC
030233         1946/09/02          2.410          MC
030233         1946/09/03          2.040          MC
030233         1946/09/04          1.830          MC
030233         1946/09/05          1.750          MC
030233         1946/09/06          1.710          MC
030233         1946/09/07          1.630          MC
030233         1946/09/08          1.750          MC
030233         1946/09/09          1.710          MC
030233         1946/09/10          2.120          MC
030233         1946/09/11          7.990          MC
030233         1946/09/12          5.180          MC
030233         1946/09/13          3.480          MC
030233         1946/09/14          2.490          MC
030233         1946/09/15          2.240          MC
030233         1946/09/16          1.830          MC
030233         1946/09/17          1.830          MC
030233         1946/09/18          1.830          MC
030233         1946/09/19          1.710          MC
030233         1946/09/20          1.630          MC
030233         1946/09/21          1.590          MC
030233         1946/09/22          1.590          MC
030233         1946/09/23          1.630          MC
030233         1946/09/24          1.670          MC
030233         1946/09/25          11.30          MC
030233         1946/09/26          5.890          MC
030233         1946/09/27          3.650          MC
030233         1946/09/28          2.860          MC
030233         1946/09/29          2.360          MC
030233         1946/09/30          90.60          MC
030233         1946/10/01          32.30          MC
030233         1946/10/02          17.00          MC
030233         1946/10/03          15.00          MC
030233         1946/10/04          9.230          MC
030233         1946/10/05          6.600          MC
030233         1946/10/06          4.980          MC
030233         1946/10/07          4.160          MC
030233         1946/10/08          3.650          MC
030233         1946/10/09          3.110          MC
030233         1946/10/10          2.920          MC
030233         1946/10/11          2.860          MC
030233         1946/10/12          2.650          MC
030233         1946/10/13          28.60          MC
030233         1946/10/14          11.50          MC
030233         1946/10/15          7.310          MC
030233         1946/10/16          5.660          MC
030233         1946/10/17          5.210          MC
030233         1946/10/18          6.400          MC
030233         1946/10/19          36.00          MC
030233         1946/10/20          17.10          MC
030233         1946/10/21          9.680          MC
030233         1946/10/22          7.590          MC
030233         1946/10/23          6.230          MC
030233         1946/10/24          5.490          MC
030233         1946/10/25          4.980          MC
030233         1946/10/26          5.440          MC
030233         1946/10/27          10.80          MC
030233         1946/10/28          7.500          MC
030233         1946/10/29          6.310          MC
030233         1946/10/30          26.10          MC
030233         1946/10/31          44.50          MC
030233         1946/11/01          17.40          MC
030233         1946/11/02          12.20          MC
030233         1946/11/03          21.60          MC
030233         1946/11/04          18.10          MC
030233         1946/11/05          19.20          MC
030233         1946/11/06          11.70          MC
030233         1946/11/07          10.00          MC
030233         1946/11/08          9.230          MC
030233         1946/11/09          35.10          MC
030233         1946/11/10          18.00          MC
030233         1946/11/11          12.50          MC
030233         1946/11/12          31.40          MC
030233         1946/11/13          17.50          MC
030233         1946/11/14          13.10          MC
030233         1946/11/15          12.20          MC
030233         1946/11/16          10.40          MC
030233         1946/11/17          9.230          MC
030233         1946/11/18          9.120          MC
030233         1946/11/19          7.390          MC
030233         1946/11/20          6.680          MC
030233         1946/11/21          6.310          MC
030233         1946/11/22          6.060          MC
030233         1946/11/23          12.90          MC
030233         1946/11/24          6.510          MC
030233         1946/11/25          7.220          MC
030233         1946/11/26          10.80          MC
030233         1946/11/27          59.70          MC
030233         1946/11/28          30.00          MC
030233         1946/11/29          17.20          MC
030233         1946/11/30          13.40          MC
030233         1946/12/01          11.60          R
030233         1946/12/02          5.520          R
030233         1946/12/03          5.950          R
030233         1946/12/04          6.510          R
030233         1946/12/05          6.940          R
030233         1946/12/06          5.950          R
030233         1946/12/07          5.380          R
030233         1946/12/08          8.500          R
030233         1946/12/09          84.10          R
030233         1946/12/10          96.60          R
030233         1946/12/11          81.30          R
030233         1946/12/12          35.10          R
030233         1946/12/13          61.20          R
030233         1946/12/14          28.60          R
030233         1946/12/15          17.80          R
030233         1946/12/16          12.80          R
030233         1946/12/17          11.00          R
030233         1946/12/18          10.20          R
030233         1946/12/19          8.780          R
030233         1946/12/20          8.160          R
030233         1946/12/21          9.060          R
030233         1946/12/22          9.910          R
030233         1946/12/23          9.630          R
030233         1946/12/24          8.500          R
030233         1946/12/25          7.360          R
030233         1946/12/26          6.370          R
030233         1946/12/27          5.660          R
030233         1946/12/28          5.240          R
030233         1946/12/29          4.810          R
030233         1946/12/30          4.590          R
030233         1946/12/31          4.390          R
030233         1947/01/01          4.250          R
030233         1947/01/02          4.110          R
030233         1947/01/03          3.960          R
030233         1947/01/04          3.820          R
030233         1947/01/05          3.680          R
030233         1947/01/06          3.540          R
030233         1947/01/07          3.400          R
030233         1947/01/08          3.260          R
030233         1947/01/09          3.170          R
030233         1947/01/10          3.090          R
030233         1947/01/11          3.000          R
030233         1947/01/12          3.680          R
030233         1947/01/13          3.960          R
030233         1947/01/14          4.250          R
030233         1947/01/15          5.660          R
030233         1947/01/16          10.50          R
030233         1947/01/17          12.50          R
030233         1947/01/18          9.630          R
030233         1947/01/19          7.650          R
030233         1947/01/20          7.080          R
030233         1947/01/21          11.90          R
030233         1947/01/22          13.00          R
030233         1947/01/23          11.30          R
030233         1947/01/24          9.060          R
030233         1947/01/25          9.630          R
030233         1947/01/26          11.90          R
030233         1947/01/27          10.90          R
030233         1947/01/28          10.90          R
030233         1947/01/29          10.20          R
030233         1947/01/30          10.80          R
030233         1947/01/31          42.50          R
030233         1947/02/01          28.30          R
030233         1947/02/02          18.40          R
030233         1947/02/03          15.00          R
030233         1947/02/04          12.50          R
030233         1947/02/05          9.630          R
030233         1947/02/06          7.790          R
030233         1947/02/07          6.510          R
030233         1947/02/08          5.660          R
030233         1947/02/09          5.150          R
030233         1947/02/10          4.810          R
030233         1947/02/11          4.530          R
030233         1947/02/12          4.250          R
030233         1947/02/13          4.020          R
030233         1947/02/14          3.910          R
030233         1947/02/15          4.020          R
030233         1947/02/16          4.810          R
030233         1947/02/17          5.240          R
030233         1947/02/18          5.380          R
030233         1947/02/19          5.380          R
030233         1947/02/20          5.240          R
030233         1947/02/21          5.100          R
030233         1947/02/22          4.960          R
030233         1947/02/23          4.840          R
030233         1947/02/24          4.700          R
030233         1947/02/25          4.590          R
030233         1947/02/26          4.530          R
030233         1947/02/27          4.390          R
030233         1947/02/28          4.280          R
030233         1947/03/01          4.110          R
030233         1947/03/02          3.960          R
030233         1947/03/03          3.650          R
030233         1947/03/04          3.620          R
030233         1947/03/05          3.820          R
030233         1947/03/06          3.680          R
030233         1947/03/07          3.600          R
030233         1947/03/08          3.480          R
030233         1947/03/09          3.400          R
030233         1947/03/10          3.280          R
030233         1947/03/11          3.230          R
030233         1947/03/12          3.260          R
030233         1947/03/13          3.450          R
030233         1947/03/14          7.080          R
030233         1947/03/15          17.30          R
030233         1947/03/16          23.80          R
030233         1947/03/17          58.00          R
030233         1947/03/18          55.20          R
030233         1947/03/19          52.40          R
030233         1947/03/20          51.00          R
030233         1947/03/21          12.50          R
030233         1947/03/22          7.360          R
030233         1947/03/23          7.650          R
030233         1947/03/24          14.70          R
030233         1947/03/25          84.70          R
030233         1947/03/26          42.50          R
030233         1947/03/27          18.10          R
030233         1947/03/28          14.20          R
030233         1947/03/29          11.30          R
030233         1947/03/30          8.500          R
030233         1947/03/31          6.800          R
030233         1947/04/01          5.660          R
030233         1947/04/02          8.500          R
030233         1947/04/03          15.60          R
030233         1947/04/04          17.00          R
