Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1992-05-27
Station:        070203         Des Escoumins - à 5,4 km en amont du pont-route 138 à Les Escoumins                                                                            
Bassin versant: 787 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 20' 58" // -69° 27' 20"

Date de création du fichier: 2012-06-30 02:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
070203         1984/10/01          4.580          MC
070203         1984/10/02          4.530          MC
070203         1984/10/03          4.770          MC
070203         1984/10/04          4.950          MC
070203         1984/10/05          5.040          MC
070203         1984/10/06          5.070          MC
070203         1984/10/07          4.910          MC
070203         1984/10/08          4.580          MC
070203         1984/10/09          4.510          MC
070203         1984/10/10          4.610          MC
070203         1984/10/11          4.590          MC
070203         1984/10/12          4.530          MC
070203         1984/10/13          4.470          MC
070203         1984/10/14          4.430          MC
070203         1984/10/15          4.380          MC
070203         1984/10/16          4.300          J
070203         1984/10/17          4.190          MC
070203         1984/10/18          4.420          MC
070203         1984/10/19          5.160          MC
070203         1984/10/20          5.270          MC
070203         1984/10/21          5.130          MC
070203         1984/10/22          5.180          MC
070203         1984/10/23          5.080          MC
070203         1984/10/24          4.890          MC
070203         1984/10/25          4.770          MC
070203         1984/10/26          4.510          MC
070203         1984/10/27          4.410          MC
070203         1984/10/28          4.690          MC
070203         1984/10/29          4.810          MC
070203         1984/10/30          4.580          MC
070203         1984/10/31          4.490          MC
070203         1984/11/01          4.330          MC
070203         1984/11/02          4.550          MC
070203         1984/11/03          4.210          MC
070203         1984/11/04          4.130          MC
070203         1984/11/05          4.750          MC
070203         1984/11/06          4.760          MC
070203         1984/11/07          4.670          MC
070203         1984/11/08          4.350          MC
070203         1984/11/09          4.830          MC
070203         1984/11/10          4.880          MC
070203         1984/11/11          5.290          MC
070203         1984/11/12          7.010          MC
070203         1984/11/13          7.410          MC
070203         1984/11/14          6.280          MC
070203         1984/11/15          5.770          MC
070203         1984/11/16          6.030          MC
070203         1984/11/17          5.880          MC
070203         1984/11/18          6.360          MC
070203         1984/11/19          6.830          MC
070203         1984/11/20          9.680          MC
070203         1984/11/21          9.110          MC
070203         1984/11/22          6.360          MC
070203         1984/11/23          5.640          MC
070203         1984/11/24          5.960          MC
070203         1984/11/25          7.480          MC
070203         1984/11/26          6.120          MC
070203         1984/11/27          5.330          MC
070203         1984/11/28          5.240          MC
070203         1984/11/29          5.150          MC
070203         1984/11/30          6.790          MC
070203         1984/12/01          9.340          MC
070203         1984/12/02          8.120          MC
070203         1984/12/03          7.420          MC
070203         1984/12/04          7.070          MC
070203         1984/12/05          6.690          MC
070203         1984/12/06          6.350          R
070203         1984/12/07          6.000          R
070203         1984/12/08          5.800          R
070203         1984/12/09          5.550          R
070203         1984/12/10          5.500          R
070203         1984/12/11          5.550          R
070203         1984/12/12          6.000          R
070203         1984/12/13          7.420          MC
070203         1984/12/14          9.750          R
070203         1984/12/15          9.990          R
070203         1984/12/16          10.40          R
070203         1984/12/17          8.650          R
070203         1984/12/18          8.250          R
070203         1984/12/19          7.800          R
070203         1984/12/20          7.400          R
070203         1984/12/21          7.100          R
070203         1984/12/22          7.000          R
070203         1984/12/23          6.800          R
070203         1984/12/24          6.650          R
070203         1984/12/25          6.550          R
070203         1984/12/26          6.400          R
070203         1984/12/27          6.300          R
070203         1984/12/28          6.200          R
070203         1984/12/29          6.100          R
070203         1984/12/30          6.000          R
070203         1984/12/31          5.950          R
070203         1985/01/01          5.850          R
070203         1985/01/02          5.750          R
070203         1985/01/03          5.700          R
070203         1985/01/04          5.600          R
070203         1985/01/05          5.550          R
070203         1985/01/06          5.450          R
070203         1985/01/07          5.350          R
070203         1985/01/08          5.300          R
070203         1985/01/09          5.200          R
070203         1985/01/10          5.150          R
070203         1985/01/11          5.050          R
070203         1985/01/12          5.000          R
070203         1985/01/13          4.980          R
070203         1985/01/14          4.930          R
070203         1985/01/15          4.900          J
070203         1985/01/16          4.850          R
070203         1985/01/17          4.820          R
070203         1985/01/18          4.800          R
070203         1985/01/19          4.800          R
070203         1985/01/20          4.790          R
070203         1985/01/21          4.790          R
070203         1985/01/22          4.780          R
070203         1985/01/23          4.780          R
070203         1985/01/24          4.770          R
070203         1985/01/25          4.760          R
070203         1985/01/26          4.760          R
070203         1985/01/27          4.760          R
070203         1985/01/28          4.750          R
070203         1985/01/29          4.750          R
070203         1985/01/30          4.740          R
070203         1985/01/31          4.730          R
070203         1985/02/01          4.700          R
070203         1985/02/02          4.650          R
070203         1985/02/03          4.630          R
070203         1985/02/04          4.620          R
070203         1985/02/05          4.620          R
070203         1985/02/06          4.620          R
070203         1985/02/07          4.620          R
070203         1985/02/08          4.620          R
070203         1985/02/09          4.610          R
070203         1985/02/10          4.610          R
070203         1985/02/11          4.600          R
070203         1985/02/12          4.600          R
070203         1985/02/13          4.600          R
070203         1985/02/14          4.600          R
070203         1985/02/15          4.600          R
070203         1985/02/16          4.600          R
070203         1985/02/17          4.600          R
070203         1985/02/18          4.600          R
070203         1985/02/19          4.600          R
070203         1985/02/20          4.590          R
070203         1985/02/21          4.590          R
070203         1985/02/22          4.590          R
070203         1985/02/23          4.590          R
070203         1985/02/24          4.590          R
070203         1985/02/25          4.590          R
070203         1985/02/26          4.580          R
070203         1985/02/27          4.580          R
070203         1985/02/28          4.570          R
070203         1985/03/01          4.570          R
070203         1985/03/02          4.550          R
070203         1985/03/03          4.530          R
070203         1985/03/04          4.530          R
070203         1985/03/05          4.520          R
070203         1985/03/06          4.510          R
070203         1985/03/07          4.500          R
070203         1985/03/08          4.500          R
070203         1985/03/09          4.500          R
070203         1985/03/10          4.500          R
070203         1985/03/11          4.500          R
070203         1985/03/12          4.500          R
070203         1985/03/13          4.500          R
070203         1985/03/14          4.490          R
070203         1985/03/15          4.490          R
070203         1985/03/16          4.490          R
070203         1985/03/17          4.480          R
070203         1985/03/18          4.480          R
070203         1985/03/19          4.480          J
070203         1985/03/20          4.480          R
070203         1985/03/21          4.480          R
070203         1985/03/22          4.480          R
070203         1985/03/23          4.480          R
070203         1985/03/24          4.480          R
070203         1985/03/25          4.470          R
070203         1985/03/26          4.470          R
070203         1985/03/27          4.470          R
070203         1985/03/28          4.470          R
070203         1985/03/29          4.470          R
070203         1985/03/30          4.470          R
070203         1985/03/31          4.470          R
070203         1985/04/01          4.470          R
070203         1985/04/02          4.470          R
070203         1985/04/03          4.470          R
070203         1985/04/04          4.480          R
070203         1985/04/05          4.500          R
070203         1985/04/06          4.850          R
070203         1985/04/07          4.900          R
070203         1985/04/08          4.750          R
070203         1985/04/09          4.700          R
070203         1985/04/10          4.600          R
070203         1985/04/11          4.580          R
070203         1985/04/12          4.560          R
070203         1985/04/13          4.550          R
070203         1985/04/14          4.500          R
070203         1985/04/15          4.590          R
070203         1985/04/16          4.700          R
070203         1985/04/17          4.800          R
070203         1985/04/18          5.000          R
070203         1985/04/19          5.150          R
070203         1985/04/20          5.450          R
070203         1985/04/21          5.800          R
070203         1985/04/22          6.600          R
070203         1985/04/23          8.000          R
070203         1985/04/24          10.00          R
070203         1985/04/25          14.70          MC
070203         1985/04/26          23.90          MC
070203         1985/04/27          39.20          MC
070203         1985/04/28          44.20          MC
070203         1985/04/29          43.10          MC
070203         1985/04/30          48.70          MC
070203         1985/05/01          50.50          MC
070203         1985/05/02          56.10          MC
070203         1985/05/03          52.20          MC
070203         1985/05/04          49.90          MC
070203         1985/05/05          45.00          MC
070203         1985/05/06          43.70          MC
070203         1985/05/07          48.00          MC
070203         1985/05/08          50.50          MC
070203         1985/05/09          46.70          MC
070203         1985/05/10          46.40          MC
070203         1985/05/11          62.90          MC
070203         1985/05/12          64.30          MC
070203         1985/05/13          68.50          MC
070203         1985/05/14          64.90          MC
070203         1985/05/15          61.70          MC
070203         1985/05/16          60.80          MC
070203         1985/05/17          72.20          MC
070203         1985/05/18          69.00          MC
070203         1985/05/19          72.70          MC
070203         1985/05/20          74.10          MC
070203         1985/05/21          86.70          MC
070203         1985/05/22          71.70          J
070203         1985/05/23          64.30          MC
070203         1985/05/24          55.10          MC
070203         1985/05/25          38.40          MC
070203         1985/05/26          30.10          J
070203         1985/05/27          25.00          MC
070203         1985/05/28          22.50          MC
070203         1985/05/29          19.60          MC
070203         1985/05/30          17.90          MC
070203         1985/05/31          21.30          MC
070203         1985/06/01          55.70          MC
070203         1985/06/02          81.30          MC
070203         1985/06/03          59.70          MC
070203         1985/06/04          48.60          MC
070203         1985/06/05          35.60          MC
070203         1985/06/06          30.10          MC
070203         1985/06/07          35.50          MC
070203         1985/06/08          32.50          MC
070203         1985/06/09          29.60          MC
070203         1985/06/10          26.20          MC
070203         1985/06/11          26.80          MC
070203         1985/06/12          24.20          MC
070203         1985/06/13          22.70          MC
070203         1985/06/14          23.10          MC
070203         1985/06/15          19.60          MC
070203         1985/06/16          18.10          MC
070203         1985/06/17          17.90          MC
070203         1985/06/18          19.40          MC
070203         1985/06/19          22.00          MC
070203         1985/06/20          22.10          MC
070203         1985/06/21          21.50          MC
070203         1985/06/22          20.60          MC
070203         1985/06/23          15.80          MC
070203         1985/06/24          14.60          MC
070203         1985/06/25          18.80          MC
070203         1985/06/26          19.30          MC
070203         1985/06/27          19.40          MC
070203         1985/06/28          16.70          MC
070203         1985/06/29          15.80          MC
070203         1985/06/30          14.50          MC
070203         1985/07/01          13.40          MC
070203         1985/07/02          13.70          MC
070203         1985/07/03          12.20          MC
070203         1985/07/04          10.50          MC
070203         1985/07/05          8.520          MC
070203         1985/07/06          8.570          MC
070203         1985/07/07          8.860          MC
070203         1985/07/08          13.80          MC
070203         1985/07/09          21.10          MC
070203         1985/07/10          18.50          MC
070203         1985/07/11          17.90          MC
070203         1985/07/12          17.60          MC
070203         1985/07/13          16.10          MC
070203         1985/07/14          16.20          MC
070203         1985/07/15          16.50          MC
070203         1985/07/16          14.30          MC
070203         1985/07/17          12.80          MC
070203         1985/07/18          12.00          MC
070203         1985/07/19          10.60          MC
070203         1985/07/20          10.10          MC
070203         1985/07/21          9.840          MC
070203         1985/07/22          10.20          MC
070203         1985/07/23          12.30          MC
070203         1985/07/24          10.70          MC
070203         1985/07/25          8.680          MC
070203         1985/07/26          8.870          MC
070203         1985/07/27          10.80          MC
070203         1985/07/28          11.20          MC
070203         1985/07/29          12.40          MC
070203         1985/07/30          12.50          J
070203         1985/07/31          11.50          MC
070203         1985/08/01          11.10          MC
070203         1985/08/02          11.10          MC
070203         1985/08/03          10.60          MC
070203         1985/08/04          10.40          MC
070203         1985/08/05          9.040          MC
070203         1985/08/06          6.390          MC
070203         1985/08/07          6.060          MC
070203         1985/08/08          6.080          MC
070203         1985/08/09          6.040          MC
070203         1985/08/10          5.800          MC
070203         1985/08/11          5.630          MC
070203         1985/08/12          5.590          MC
070203         1985/08/13          5.330          MC
070203         1985/08/14          5.340          MC
070203         1985/08/15          5.300          MC
070203         1985/08/16          5.200          MC
070203         1985/08/17          5.010          MC
070203         1985/08/18          4.890          MC
070203         1985/08/19          4.810          MC
070203         1985/08/20          4.830          MC
070203         1985/08/21          4.770          MC
070203         1985/08/22          4.670          MC
070203         1985/08/23          4.580          MC
070203         1985/08/24          4.560          MC
070203         1985/08/25          4.580          MC
070203         1985/08/26          4.430          MC
070203         1985/08/27          5.330          MC
070203         1985/08/28          6.960          MC
070203         1985/08/29          6.680          MC
070203         1985/08/30          6.080          MC
070203         1985/08/31          5.750          MC
070203         1985/09/01          5.510          MC
070203         1985/09/02          5.520          MC
070203         1985/09/03          5.410          MC
070203         1985/09/04          5.860          MC
070203         1985/09/05          7.400          MC
070203         1985/09/06          12.30          MC
070203         1985/09/07          15.70          MC
070203         1985/09/08          15.60          MC
070203         1985/09/09          15.20          MC
070203         1985/09/10          21.00          MC
070203         1985/09/11          19.70          MC
070203         1985/09/12          17.70          MC
070203         1985/09/13          14.90          MC
070203         1985/09/14          14.20          MC
070203         1985/09/15          13.30          MC
070203         1985/09/16          11.50          MC
070203         1985/09/17          8.210          MC
070203         1985/09/18          6.480          MC
070203         1985/09/19          6.420          MC
070203         1985/09/20          6.330          MC
070203         1985/09/21          10.30          MC
070203         1985/09/22          12.40          MC
070203         1985/09/23          5.610          MC
070203         1985/09/24          4.120          MC
070203         1985/09/25          15.20          MC
070203         1985/09/26          12.10          MC
070203         1985/09/27          10.00          MC
070203         1985/09/28          20.70          MC
070203         1985/09/29          14.80          MC
070203         1985/09/30          11.30          MC
070203         1985/10/01          10.00          MC
070203         1985/10/02          18.10          MC
070203         1985/10/03          19.60          MC
070203         1985/10/04          13.00          MC
070203         1985/10/05          12.00          MC
070203         1985/10/06          27.80          MC
070203         1985/10/07          22.60          MC
070203         1985/10/08          17.90          MC
070203         1985/10/09          16.10          MC
070203         1985/10/10          15.10          MC
070203         1985/10/11          14.00          MC
070203         1985/10/12          12.60          MC
070203         1985/10/13          11.70          MC
070203         1985/10/14          11.20          MC
070203         1985/10/15          10.90          MC
070203         1985/10/16          13.50          J
070203         1985/10/17          11.50          MC
070203         1985/10/18          9.740          MC
070203         1985/10/19          9.790          MC
070203         1985/10/20          9.380          MC
070203         1985/10/21          8.700          MC
070203         1985/10/22          8.090          MC
070203         1985/10/23          7.750          MC
070203         1985/10/24          7.510          MC
070203         1985/10/25          7.310          MC
070203         1985/10/26          6.740          MC
070203         1985/10/27          6.640          MC
070203         1985/10/28          6.250          R
070203         1985/10/29          5.850          R
070203         1985/10/30          5.700          R
070203         1985/10/31          5.530          MC
070203         1985/11/01          5.330          MC
070203         1985/11/02          5.300          MC
070203         1985/11/03          5.210          MC
070203         1985/11/04          5.120          MC
070203         1985/11/05          5.080          MC
070203         1985/11/06          5.430          MC
070203         1985/11/07          15.90          MC
070203         1985/11/08          18.50          MC
070203         1985/11/09          16.90          MC
070203         1985/11/10          13.40          MC
070203         1985/11/11          10.90          MC
070203         1985/11/12          9.400          MC
070203         1985/11/13          8.300          R
070203         1985/11/14          7.900          R
070203         1985/11/15          7.800          R
070203         1985/11/16          8.800          R
070203         1985/11/17          10.80          R
070203         1985/11/18          12.00          MC
070203         1985/11/19          11.30          MC
070203         1985/11/20          11.90          MC
070203         1985/11/21          12.70          MC
070203         1985/11/22          11.30          MC
070203         1985/11/23          11.10          MC
070203         1985/11/24          10.50          MC
070203         1985/11/25          9.510          MC
070203         1985/11/26          9.280          MC
070203         1985/11/27          9.730          MC
070203         1985/11/28          9.720          MC
070203         1985/11/29          9.880          MC
070203         1985/11/30          12.40          MC
070203         1985/12/01          16.20          MC
070203         1985/12/02          21.50          R
070203         1985/12/03          19.00          R
070203         1985/12/04          16.80          R
070203         1985/12/05          15.00          R
070203         1985/12/06          13.10          R
070203         1985/12/07          12.00          R
070203         1985/12/08          11.00          R
070203         1985/12/09          10.40          R
070203         1985/12/10          9.800          R
070203         1985/12/11          9.300          R
070203         1985/12/12          8.900          R
070203         1985/12/13          8.500          R
070203         1985/12/14          8.300          R
070203         1985/12/15          8.000          R
070203         1985/12/16          7.750          R
070203         1985/12/17          7.500          R
070203         1985/12/18          7.300          R
070203         1985/12/19          7.050          R
070203         1985/12/20          6.950          R
070203         1985/12/21          6.750          R
070203         1985/12/22          6.600          R
070203         1985/12/23          6.500          R
070203         1985/12/24          6.350          R
070203         1985/12/25          6.200          R
070203         1985/12/26          6.100          R
070203         1985/12/27          5.990          R
070203         1985/12/28          5.900          R
070203         1985/12/29          5.800          R
070203         1985/12/30          5.700          R
070203         1985/12/31          5.650          R
070203         1986/01/01          5.590          R
070203         1986/01/02          5.500          R
070203         1986/01/03          5.450          R
070203         1986/01/04          5.380          R
070203         1986/01/05          5.300          R
070203         1986/01/06          5.250          R
070203         1986/01/07          5.200          R
070203         1986/01/08          5.170          R
070203         1986/01/09          5.150          R
070203         1986/01/10          5.100          R
070203         1986/01/11          5.050          R
070203         1986/01/12          5.030          R
070203         1986/01/13          5.030          R
070203         1986/01/14          5.030          J
070203         1986/01/15          5.020          R
070203         1986/01/16          5.010          R
070203         1986/01/17          5.000          R
070203         1986/01/18          5.010          R
070203         1986/01/19          5.150          R
070203         1986/01/20          5.350          R
070203         1986/01/21          6.200          R
070203         1986/01/22          7.400          R
070203         1986/01/23          7.600          R
070203         1986/01/24          7.000          R
070203         1986/01/25          6.600          R
070203         1986/01/26          7.000          R
070203         1986/01/27          11.00          R
070203         1986/01/28          18.90          R
070203         1986/01/29          19.50          R
070203         1986/01/30          18.40          R
070203         1986/01/31          17.00          R
070203         1986/02/01          15.90          R
070203         1986/02/02          14.40          R
070203         1986/02/03          13.50          R
070203         1986/02/04          12.70          R
070203         1986/02/05          11.90          R
070203         1986/02/06          11.20          R
070203         1986/02/07          11.50          R
070203         1986/02/08          10.00          R
070203         1986/02/09          9.400          R
070203         1986/02/10          9.000          R
070203         1986/02/11          8.600          R
070203         1986/02/12          8.300          R
070203         1986/02/13          8.000          R
070203         1986/02/14          7.650          R
070203         1986/02/15          7.400          R
070203         1986/02/16          7.150          R
070203         1986/02/17          6.900          R
070203         1986/02/18          6.600          R
070203         1986/02/19          6.400          R
070203         1986/02/20          6.200          R
070203         1986/02/21          6.000          R
070203         1986/02/22          5.800          R
070203         1986/02/23          5.650          R
070203         1986/02/24          5.450          R
070203         1986/02/25          5.250          R
070203         1986/02/26          5.100          R
070203         1986/02/27          4.950          R
070203         1986/02/28          4.750          R
070203         1986/03/01          4.600          R
070203         1986/03/02          4.550          R
070203         1986/03/03          4.500          R
070203         1986/03/04          4.450          R
070203         1986/03/05          4.400          R
070203         1986/03/06          4.350          R
070203         1986/03/07          4.300          R
070203         1986/03/08          4.280          R
070203         1986/03/09          4.250          R
070203         1986/03/10          4.220          R
070203         1986/03/11          4.200          J
070203         1986/03/12          4.180          R
070203         1986/03/13          4.150          R
070203         1986/03/14          4.130          R
070203         1986/03/15          4.100          R
070203         1986/03/16          4.100          R
070203         1986/03/17          4.100          R
070203         1986/03/18          4.250          R
070203         1986/03/19          4.500          R
070203         1986/03/20          4.850          R
070203         1986/03/21          5.600          R
070203         1986/03/22          6.700          R
070203         1986/03/23          7.750          R
070203         1986/03/24          7.400          R
070203         1986/03/25          6.200          R
070203         1986/03/26          6.100          R
070203         1986/03/27          6.500          R
070203         1986/03/28          7.700          R
070203         1986/03/29          9.000          R
070203         1986/03/30          8.800          R
070203         1986/03/31          8.900          R
070203         1986/04/01          9.500          R
070203         1986/04/02          10.50          R
070203         1986/04/03          13.80          R
070203         1986/04/04          12.50          R
070203         1986/04/05          11.20          R
070203         1986/04/06          9.900          R
070203         1986/04/07          9.200          R
070203         1986/04/08          8.700          R
070203         1986/04/09          8.300          R
070203         1986/04/10          8.000          R
070203         1986/04/11          8.100          R
070203         1986/04/12          8.800          R
070203         1986/04/13          10.00          R
070203         1986/04/14          12.10          R
070203         1986/04/15          14.10          R
070203         1986/04/16          17.40          R
070203         1986/04/17          19.50          MC
070203         1986/04/18          22.30          MC
070203         1986/04/19          22.50          MC
070203         1986/04/20          24.90          MC
070203         1986/04/21          30.00          MC
070203         1986/04/22          45.00          MC
070203         1986/04/23          49.20          MC
070203         1986/04/24          48.10          MC
070203         1986/04/25          50.10          MC
070203         1986/04/26          57.00          MC
070203         1986/04/27          78.20          MC
070203         1986/04/28          86.00          MC
070203         1986/04/29          103.0          MC
070203         1986/04/30          98.50          MC
070203         1986/05/01          96.60          MC
070203         1986/05/02          104.0          MC
070203         1986/05/03          88.30          MC
070203         1986/05/04          74.30          MC
070203         1986/05/05          63.40          MC
070203         1986/05/06          54.60          MC
070203         1986/05/07          51.60          MC
070203         1986/05/08          52.70          MC
070203         1986/05/09          49.20          MC
070203         1986/05/10          51.10          MC
070203         1986/05/11          52.40          MC
070203         1986/05/12          52.50          MC
070203         1986/05/13          54.60          MC
070203         1986/05/14          52.30          MC
070203         1986/05/15          51.40          MC
070203         1986/05/16          49.80          MC
070203         1986/05/17          40.40          MC
070203         1986/05/18          33.50          MC
070203         1986/05/19          35.80          MC
070203         1986/05/20          45.90          MC
070203         1986/05/21          81.90          MC
070203         1986/05/22          106.0          MC
070203         1986/05/23          82.00          MC
070203         1986/05/24          63.70          MC
070203         1986/05/25          52.80          MC
070203         1986/05/26          40.30          MC
070203         1986/05/27          35.90          MC
070203         1986/05/28          32.10          MC
070203         1986/05/29          29.20          MC
070203         1986/05/30          23.70          MC
070203         1986/05/31          20.50          MC
070203         1986/06/01          14.90          MC
070203         1986/06/02          13.30          MC
070203         1986/06/03          11.80          J
070203         1986/06/04          11.00          MC
070203         1986/06/05          10.90          MC
070203         1986/06/06          11.20          MC
070203         1986/06/07          14.80          MC
070203         1986/06/08          13.00          MC
070203         1986/06/09          11.80          MC
070203         1986/06/10          11.60          MC
070203         1986/06/11          11.40          MC
070203         1986/06/12          10.60          MC
070203         1986/06/13          8.740          MC
070203         1986/06/14          9.290          MC
070203         1986/06/15          9.320          MC
070203         1986/06/16          8.100          MC
070203         1986/06/17          8.140          MC
070203         1986/06/18          8.220          MC
070203         1986/06/19          9.350          MC
070203         1986/06/20          9.690          MC
070203         1986/06/21          10.00          MC
070203         1986/06/22          10.70          MC
070203         1986/06/23          11.80          MC
070203         1986/06/24          12.20          MC
070203         1986/06/25          15.80          MC
070203         1986/06/26          14.70          MC
070203         1986/06/27          13.70          MC
070203         1986/06/28          15.20          MC
070203         1986/06/29          13.90          MC
070203         1986/06/30          13.50          MC
070203         1986/07/01          12.50          MC
070203         1986/07/02          9.970          MC
070203         1986/07/03          7.440          MC
070203         1986/07/04          6.400          MC
070203         1986/07/05          6.510          MC
070203         1986/07/06          6.160          MC
070203         1986/07/07          7.220          MC
070203         1986/07/08          11.00          MC
070203         1986/07/09          15.90          MC
070203         1986/07/10          8.620          MC
070203         1986/07/11          6.860          MC
070203         1986/07/12          6.680          MC
070203         1986/07/13          6.470          MC
070203         1986/07/14          7.570          MC
070203         1986/07/15          22.60          MC
070203         1986/07/16          30.00          MC
070203         1986/07/17          18.10          MC
070203         1986/07/18          14.90          MC
070203         1986/07/19          23.20          MC
070203         1986/07/20          26.50          MC
070203         1986/07/21          29.80          MC
070203         1986/07/22          15.00          MC
070203         1986/07/23          13.50          MC
070203         1986/07/24          12.40          J
070203         1986/07/25          11.20          MC
070203         1986/07/26          10.70          MC
070203         1986/07/27          11.10          MC
070203         1986/07/28          9.590          MC
070203         1986/07/29          8.230          MC
070203         1986/07/30          7.810          MC
070203         1986/07/31          7.590          MC
070203         1986/08/01          10.00          MC
070203         1986/08/02          16.10          MC
070203         1986/08/03          15.30          MC
070203         1986/08/04          20.70          MC
070203         1986/08/05          19.30          MC
070203         1986/08/06          16.50          MC
070203         1986/08/07          12.50          MC
070203         1986/08/08          11.30          MC
070203         1986/08/09          10.40          MC
070203         1986/08/10          10.00          MC
070203         1986/08/11          9.810          MC
070203         1986/08/12          9.850          MC
070203         1986/08/13          10.30          MC
070203         1986/08/14          11.90          MC
070203         1986/08/15          12.20          MC
070203         1986/08/16          11.00          MC
070203         1986/08/17          10.10          MC
070203         1986/08/18          9.300          MC
070203         1986/08/19          9.820          MC
070203         1986/08/20          9.000          MC
070203         1986/08/21          8.250          MC
070203         1986/08/22          9.480          MC
070203         1986/08/23          8.770          MC
070203         1986/08/24          11.90          MC
070203         1986/08/25          34.00          MC
070203         1986/08/26          33.60          MC
070203         1986/08/27          25.00          MC
070203         1986/08/28          21.60          MC
070203         1986/08/29          17.60          MC
070203         1986/08/30          14.20          MC
070203         1986/08/31          12.80          MC
070203         1986/09/01          12.00          MC
070203         1986/09/02          11.60          MC
070203         1986/09/03          16.00          MC
070203         1986/09/04          15.80          MC
070203         1986/09/05          13.80          MC
070203         1986/09/06          16.60          MC
070203         1986/09/07          15.30          MC
070203         1986/09/08          13.40          MC
070203         1986/09/09          12.40          MC
070203         1986/09/10          12.10          MC
070203         1986/09/11          15.60          MC
070203         1986/09/12          27.80          MC
070203         1986/09/13          54.50          MC
070203         1986/09/14          42.00          MC
070203         1986/09/15          36.70          MC
070203         1986/09/16          26.80          MC
070203         1986/09/17          21.90          MC
070203         1986/09/18          24.60          MC
070203         1986/09/19          23.50          MC
070203         1986/09/20          21.20          MC
070203         1986/09/21          19.70          MC
070203         1986/09/22          13.60          MC
070203         1986/09/23          13.70          MC
070203         1986/09/24          15.70          MC
070203         1986/09/25          18.20          MC
070203         1986/09/26          17.70          MC
070203         1986/09/27          16.00          MC
070203         1986/09/28          14.80          MC
070203         1986/09/29          14.10          MC
070203         1986/09/30          14.70          MC
070203         1986/10/01          14.40          MC
070203         1986/10/02          12.10          MC
070203         1986/10/03          11.70          MC
070203         1986/10/04          16.60          MC
070203         1986/10/05          16.00          MC
070203         1986/10/06          14.10          MC
070203         1986/10/07          16.40          MC
070203         1986/10/08          13.10          MC
070203         1986/10/09          12.10          MC
070203         1986/10/10          11.20          MC
070203         1986/10/11          10.40          MC
070203         1986/10/12          9.930          MC
070203         1986/10/13          11.00          MC
070203         1986/10/14          9.480          MC
070203         1986/10/15          8.820          MC
070203         1986/10/16          8.240          MC
070203         1986/10/17          8.750          MC
070203         1986/10/18          10.90          MC
070203         1986/10/19          11.50          MC
070203         1986/10/20          11.10          MC
070203         1986/10/21          10.80          MC
070203         1986/10/22          10.40          MC
070203         1986/10/23          10.70          MC
070203         1986/10/24          10.70          MC
070203         1986/10/25          10.20          MC
070203         1986/10/26          10.60          MC
070203         1986/10/27          11.10          MC
070203         1986/10/28          12.00          J
070203         1986/10/29          12.30          MC
070203         1986/10/30          12.30          MC
070203         1986/10/31          11.70          MC
070203         1986/11/01          10.80          MC
070203         1986/11/02          10.40          MC
070203         1986/11/03          9.620          MC
070203         1986/11/04          9.670          MC
070203         1986/11/05          8.670          MC
070203         1986/11/06          8.520          MC
070203         1986/11/07          9.070          MC
070203         1986/11/08          9.420          MC
070203         1986/11/09          10.80          MC
070203         1986/11/10          13.90          MC
070203         1986/11/11          12.20          MC
070203         1986/11/12          11.20          MC
070203         1986/11/13          10.50          MC
070203         1986/11/14          7.800          MC
070203         1986/11/15          8.750          MC
070203         1986/11/16          9.330          MC
070203         1986/11/17          11.20          MC
070203         1986/11/18          9.480          MC
070203         1986/11/19          7.020          MC
070203         1986/11/20          6.700          R
070203         1986/11/21          6.200          R
070203         1986/11/22          7.820          R
070203         1986/11/23          9.520          R
070203         1986/11/24          16.70          R
070203         1986/11/25          13.00          R
070203         1986/11/26          12.10          R
070203         1986/11/27          10.70          R
070203         1986/11/28          9.400          R
070203         1986/11/29          8.500          R
070203         1986/11/30          8.050          R
070203         1986/12/01          8.200          R
070203         1986/12/02          9.300          R
070203         1986/12/03          13.20          R
070203         1986/12/04          14.50          R
070203         1986/12/05          13.20          R
070203         1986/12/06          12.90          R
070203         1986/12/07          12.50          R
070203         1986/12/08          12.30          R
070203         1986/12/09          11.90          R
070203         1986/12/10          11.60          R
070203         1986/12/11          11.40          R
070203         1986/12/12          11.10          R
070203         1986/12/13          10.70          R
070203         1986/12/14          10.50          R
070203         1986/12/15          10.30          R
070203         1986/12/16          10.10          R
070203         1986/12/17          9.900          R
070203         1986/12/18          9.650          R
070203         1986/12/19          9.400          R
070203         1986/12/20          9.250          R
070203         1986/12/21          9.000          R
070203         1986/12/22          8.900          R
070203         1986/12/23          8.700          R
070203         1986/12/24          8.600          R
070203         1986/12/25          8.450          R
